0ad,com.play0ad.zeroad
aaaaxy,io.github.divverent.aaaaxy
alien-arena-linux,org.alienarena.alienarena
alligator,org.kde.alligator
altaqwaa,org.altaqwaa.Altaqwaa
amberol,io.bassi.Amberol
android-studio,com.google.AndroidStudio
angelfish,org.kde.angelfish
aphototoollibre,me.ahola.aphototoollibre
appflowy,io.appflowy.AppFlowy
aqueducts,com.endlessnetwork.aqueducts
arduino,cc.arduino.arduinoide
arianna,org.kde.arianna
ark,org.kde.ark
armcord,xyz.armcord.ArmCord
artikulate,org.kde.artikulate
audacious,org.atheme.audacious
audacity,org.audacityteam.Audacity
audiotube,org.kde.audiotube
axolotl,org.nanuc.Axolotl
beekeeper-studio,io.beekeeperstudio.Studio
bibletime,info.bibletime.BibleTime
bitcoin-core,org.bitcoincore.bitcoin-qt
bitwarden,com.bitwarden
blackcoin-more,org.blackcoin.blackcoin-more
blender,org.blender.Blender
blinken,org.kde.blinken
blockbench-snapcraft,net.blockbench.Blockbench
blue-recorder,sa.sy.bluerecorder
bluebubbles,app.bluebubbles.BlueBubbles
bluemail,net.blix.BlueMail
bolls,life.bolls.bolls
bomber,org.kde.bomber
bovo,org.kde.bovo
boxy-svg,com.boxy_svg.BoxySVG
brave,com.brave.Browser
butterfly,dev.linwood.butterfly
calligra,org.kde.calligra
cameractrls,hu.irl.cameractrls
cantara,app.cantara.Cantara
cantor,org.kde.cantor
caprine,com.sindresorhus.Caprine
cawbird,uk.co.ibboard.cawbird
cbetar2,io.github.mrmyhuang.cbetar2
cclite,page.codeberg.JakobDev.CCLite
celluloid,io.github.celluloid_player.Celluloid
cervisia,org.kde.cervisia
chartgeany,io.sourceforge.chart_geany.chart-geany
cherrytree,com.giuspen.cherrytree
chromium,org.chromium.Chromium
citra-emu,org.citra_emu.citra
clementine,org.clementine_player.Clementine
clion,com.jetbrains.CLion
cloudcompare,org.cloudcompare.CloudCompare
code,com.visualstudio.code
codium,com.vscodium.codium
cointop,com.github.miguelmota.Cointop
colorwall,com.ktechpit.colorwall
converseen,net.fasterland.converseen
converternow,io.github.ferraridamiano.ConverterNOW
corsixth,com.corsixth.corsixth
cozy,com.github.geigi.cozy
cudatext,io.github.cudatext.CudaText-Qt5
cumulonimbus,com.github.z.Cumulonimbus
cura-slicer,com.ultimaker.cura
darktable,org.darktable.Darktable
datagrip,com.jetbrains.DataGrip
deezer-unofficial-player,dev.aunetx.deezer
deluge-lukewh,org.deluge_torrent.deluge
denaro,org.nickvision.money
dialect,app.drey.Dialect
digikam,org.kde.digikam
discord,com.discordapp.Discord
dolphin,org.kde.dolphin
dosbox-x,com.dosbox_x.DOSBox-X
dotnet-sdk,org.freedesktop.Sdk.Extension.dotnet7
dragon,org.kde.dragon
dragonsapprentice,com.endlessnetwork.dragonsapprentice
drawio,com.jgraph.drawio.desktop
duolingo-desktop,ro.go.hmlendea.DL-Desktop
easter,com.github.alexkdeveloper.easter
electron-deezer,dev.aunetx.deezer
electron-mail,com.github.vladimiry.ElectronMail
electrum,org.electrum.electrum
element-desktop,im.riot.Riot
elisa,org.kde.elisa
elliptic-curve-plotter,de.unifreiburg.ellipticcurve
emacs,org.gnu.emacs
emby-server,media.emby.EmbyServer
enroute-flight-navigation,de.akaflieg_freiburg.enroute
eog,org.gnome.eog
evince,org.gnome.Evince
fablemaker,com.endlessnetwork.fablemaker
falkon,org.kde.falkon
feeling-finder,codes.merritt.FeelingFinder
ferdi,org.ferdium.Ferdium
ferdium,org.ferdium.Ferdium
figma-linux,io.github.Figma_Linux.figma_linux
filebot,net.filebot.FileBot
filelight,org.kde.filelight
firefox,org.mozilla.firefox
flacon-tabetai,com.github.Flacon
flightgear,org.flightgear.FlightGear
fluent-reader,me.hyliu.fluentreader
fluffychat,im.fluffychat.Fluffychat
foliate,com.github.johnfactotum.Foliate
forecast,dev.salaniLeo.forecast
fractal,org.gnome.Fractal
fragments,de.haeckerfelix.Fragments
freac,org.freac.freac
